tweet_id,sentiment,author,content
1957070273,surprise,courtneyyy3,@MandyAlwaysKnws nope.  they are all sleeping cuz they live on the east coast.
1957072400,trust,kaboyd5,Pug just woke me from an incredible sleep!
1957072637,trust,destinyhope92,@ddlovato i can`t wait to hear your new album. i`m sure will be amazing.please just replay to me  i love you so much!!!!
1957073753,anger,imayami,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
1957074101,surprise,Ms_MaryJane,omg i didnt tweet all that much today.... *sadness*
1957075370,surprise,inimeg,@CrazyBallerina Not really sleepy ...bored is the right word ... again not much work
1957076450,trust,brockm,there's really no android twitter app of Tweetie's calibre
1957076577,anger,benfulghum,on jacksonville beach walking in the cold Ass water   but have to work in the morning   ily &lt;('-')&gt;
1957082538,anger,sin__,@abguerraartist  I am not a pussy! damnit!  [sending you an e-mail right now btw]
1957083084,trust,synerje,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
1957083641,anger,elDi_irk,fuckin'm transtelecom
1957084165,surprise,FreeBleuDaVinci,@ModelTheany  tee we beefin....what was u supposed to do before leavin????
1957085151,anger,josh_kim,@juliaiiivir Hey! That's my school! I hate that place.
1957089935,anger,umi78,Working   But it's Fridaaaayyyyy
1957090493,surprise,FeistyRedheadHB,Got home from work @ 9:45 and JUST finished cleaning. Now I need to eat dinner and don't know what I want!!  Ugh...oh well. Might not eat.
1957092921,surprise,Quastbabynumbr5,Extremly deep
1957094812,anger,vyvien,"plan may changes , nooooooo"
1957094989,anger,tonydeanxo,my sister is a douchebag
1957095452,surprise,textdrivebys,@fiercebanana there's relisting fees when you don't complete a sale?  that sucks!
1957097329,surprise,karinb_za,@astynes Me too.  Wonder if Mnet will show it...
1957104795,surprise,viherrera,I cant use my blackberry today. This sucks.
1957105472,anger,hiracdelest,time for tv in bed.Then spending all day catching up on studying  i hate online summer classes
1957106609,anger,Anne_A4L,Dang it! I REALLY look like crap!! Sigh only had 35mins to shower and 10mins to get ready
1957107599,surprise,mrscwuby,lol i cant drink!!
1957107658,surprise,evangelinanana,"if bill compton has wii, why can't he have twitter?"
1957110088,anger,NayNay_Rt,Packing  I don't like it..
1957114604,anger,Fiibs,"back at Vienna (  ), sooo tired, luggage lost, Manchester 'd been great - very good outcome from Seminar at MBS &amp; great people around ..."
1957116742,surprise,INKDMOM,@MyCakesRock  AAAAAAHHHHHHHH !!!!!  SOOOOOOOO SWEEEEEEET !!!!!!  I miss that age ..... SOOOO MUCH !
1957116748,surprise,Caibear,Just saw a fox!  as i was getting on the freeway... I hope it goes home
1957117050,surprise,wastemyself,recapping on britains got talent. britain seems more talented than america
1957122354,surprise,r3dux,FINALLY...the internet is up. The server is down in Phoenix and it was fucked up.
1957127251,anger,ver0nica,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
1957128989,surprise,stevencraig,Math quiz: If Meow =  but Allergies =   then Meow + Allergies = ?
1957132647,surprise,CHWong,"@pastorpeterko Hey Peter, thanks for the follow. So many Sydney pastors tweet!!! Shame no Bris pastors are on Twitter; we're behind."
1957133192,surprise,jeanneherawati,"aku kbangun gara2 mimpi @manyolitha, very bad dream"
1957142715,anger,whiterr_x,"Taking back the HORRIBLE shoes my mum made me get.. urgggh. They are some nasty footwear! Problem is, I can't find any other shoes!"
1957145531,anger,holleeann91,night 5 not talking to my victor  i'm so bored at night now. grrrr i hate this shit
1957145817,anger,Jessicahhhh,"gonna get off to try and catch some Z's, no more high school after tomorrow! which really sucks  i wish i didn't have to grow up!"
1957147658,anger,MEG_B_johnson,Sooo.....I'm kinda o sick n tired of the bs that guys dish out  !!!!!!!!
1957147848,surprise,sammy148,So wish the Carlton game was on live  stupid channel 7 lol.
1957154821,anger,marconipoveda,i just murdered two fucking mouses!!! now i cant sleep
1957156484,anger,dj_melza,"sososo bummed, like really bummed, i hate this rain, ruin my date..."
1957156949,anger,DasutinD,"Working late at night on a Dell notebook, Dell's quality has gone down hill, warrenty service sucks too, poor people  buy a Mac instead"
1957157433,surprise,air_nautique,Wow. That hurt way worse than i thought it would.
1957160843,anger,victoriaaa_,"@calvinharris make the most of pork products while you can, they've fucking stopped importing it here in dubai. bad times"
1957162894,surprise,ramsey33,No churchill downs for me tomorrow
1957163172,surprise,DJNoxpt,Bahh the police ended the party @ 5!!  Just when i was starting....
1957164444,surprise,sami_bby,@Jordalynn omg you've never seen 'the Ring' its a creppy ass movie
1957164542,surprise,Mel4Zac,mannnn..... @alllyy_ got an iphone!!! im jealous....
1957166454,surprise,TeamEdward6,Josh just called me a big bucket of ugly  wish me luck for my audition tweets!
1957166935,surprise,xmjox,@future_perfect I'm trying to self learn photoshop but it's not going so well!
1957169086,surprise,XxMindyNicolexX,"@desdoulas Ya, the weather has been super weird here. It looked like it was gonna rain today but of course it didn't, darnitt,"
1957170232,anger,deenahdeedoodah,"WTF facebook just cleared out my whole survey and i was on the last q, this night gets better and better  what else is next?"
1957172292,anger,sylverxrainbow,Its weird being at the guy's house without them here. I don't like it
1957172370,surprise,WillSpringfield,FUCK wasting deodorant... i aint goin no where... i aint havin company  let me funk it to ya!
1957174335,surprise,MandyKitKat,OUCH! my earphones just shocked me
1957177654,anger,ZenHarmony,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
1957188633,anger,karaready,Doing a mass cleanout of my room before rearranging it. Just sent mother out to buy me a bin and a bookshelf since mine sucks. Bad mood
1957188806,anger,maojoa,"feeling really sick  watching the fifth element, and about to smoke a cigg. ugh i hate colds!"
1957188904,surprise,liangtfm,Bah I don't think @bing's FB fan page will get to 7500
1957190983,surprise,n0tin,"It's fucking cold here north now! It was like 77 DF yesterday where I was, here it's 37,4"
1957191924,surprise,ceggs,Dogs eyes seem bad. Just forked out on new washing machine so why not a vets bill to top it off eh?!?!
1957192957,anger,LucHeidenreich,Bummed that F! F! F! broke up
1957196203,surprise,badtwin,"@movewithme lol ik they are, but i figure i've kept it for a year+ without needing virus software or to get it fixed  sigh"
1957198359,anger,Dutchrudder,"@StonedSteve yes it was good 2 see them laught at each other,,but that poor lad asking his mum &amp; dad 2 kill him"
1957199401,surprise,Jazzy813,Where is my bestie when i need him @iAmcertiPHIed
1957206274,surprise,ziggywas,Summer Glau to appear in Dollhouse next year http://tinyurl.com/mnrezc... I still can't believe they won't renew TSCC
1957206401,anger,delboy1203,@GoblinZA Can't access your site!
1957210815,surprise,dangergianni,@FriendlyFetus cause they changed man....
1957211597,anger,TannuhFS,Its so Fucking hot! Damn no air conditioning.
1957212085,anger,godmagnus,@hillaryhatt I never liked that boy  Jerms!
1957218610,anger,LenasLife,"this sucks i'm tweetless...and i f'n hate money, why does it have to be an issue"
1957218793,anger,DInstros,dam it keeps rainin on me
1957224476,surprise,ItsTheNeeNee,"My Pandora is hitten hard, why can't real radio play great music like this"
1957225620,surprise,nancyyeh,Where are all you Motivated/Determined/wannabe sexy successful young professionals!??! I might really have to join a BNI if there is no1!
1957227657,surprise,sarahmars,@hudaaaa eeeeeeeeeeeeee i jealous sia i didnt get to seee
1957228023,surprise,heyyitskate,arrrgh. i'm bored. so bored. there's nothing to do except slouch at the computer all day long.
1957229627,surprise,DjDATZ,"@mandy2610 and @esko yea, just confirmed that this game indeed is already patched...  LOL guess you'll have to help me tomorrow ;)"
1957231014,anger,7immizzle,@MissMadalena err i think they're like 15 bucks a ticket cause its 3D too. too expensive
1957231506,anger,elliejanexo,Omg grr my parents left probably 15 minutes ago to belgium and typical i wake up a stupid o'clock
1957233257,surprise,Hail_zzz,Gonna go watch Shorty Street &amp; then prison break marathon then bed maybe. Nobodies texting me!
1957233929,anger,geoffchapman,Just watched The Goode Family premiere online... And I think this may be the last episode I watch. It's pretty amazingly mediocre  pass.
1957235177,surprise,sh00tingxstarr,"gonna dream about my prince charming tonight, n see if everything goes back to normal. I really hope so   &lt;3"
1957236446,surprise,viintagedresses,wow i have no friends on twitter
1957237503,anger,utehbaik,and this stupid wireless wont work downstairs
1957237598,anger,Jady0903,"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
1957241208,anger,LGoodyer09,Have to go to work  typical sunshine and deep sleep; stupid friday.
1957243516,surprise,Kikirowr,@Katarinea Oh wow  ouch...
1957245122,surprise,rubyberrry,@ruthchu wat the! you were in riverside??
1957248127,anger,sunayana,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
1957250995,anger,DJinDia,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !
1957252405,anger,iskyworld,says BAD TRIP! (angry)  http://plurk.com/p/wxshi
1957255401,surprise,autumnmariegray,@sydthekid why are you sad?!
1957263744,anger,sacha91,omg!!! mcdonalds combo and wendys sundae = puke material
1957263978,anger,Kaydeescrafts,I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied
1957265612,anger,MsMac74,But why do I have to spend it in the office
1957266491,surprise,ejtormes,@niccoqp I miss going to EK every summer &amp; christmas vaca  Take me there!
1957267963,surprise,c9xgmr,they shot him  he was still alive too...
1957268633,anger,traceydukes,"@MissMaryJ M Jizzle I need u to Hit me too, ugghh I'm sick of this damn phone! Like seriously!"
1957269543,anger,kristinarosexxx,@iamivanxxx That sucks to hear. I hate days like that
1957271702,surprise,onastysainto,@runhipporun just took the Terminator trilogy :-D but what I need is actually TV series and I still can't find anything tempting
1957276419,anger,xcherylax,This train is so squeaky its givin me a sore head its bad enough i have to go to work!
1957277190,surprise,djsteeley,"Oops, they don't open until 9am"
1957278010,anger,_erica,@Kikirowr Downside though is that you're breaking the thread.
1957282070,surprise,briBOFA,@valdivia1 what about me?
1957286023,anger,dessey,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition
1957287286,anger,Born2Rune,@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back
1957289252,anger,crazy_erin,I tried to dye my hair and all i got was a blond chunk in the front middle part of my hair. Dang.
1957290577,surprise,xZOSEPH,"NOOOOO! serena and darrian don't remember each other, and i've been waiting all day to see them confess their love"
1957291305,anger,msfussybritches,&quot;locked up abroad&quot; makes bein half brown good risk mgmt when travelin 3rd world. i blend. i feel sorry for my hostage magnet white pepo
1957291550,surprise,KeyzFabLife,@bskeete87 THEN Y R U LEAVN???? STAY!?
1957291614,surprise,purplepleather,"@destinyeyes i'm sorry! lol i have never had, like, actual time to spend there unfortunately. everything's always been INSANE when i go"
1957293082,surprise,Homebrewed,"@Potato_Chip That's right! I totally forgot. Might not be till August, though    Have a great summer!!"
1957293548,anger,misshuiying,rah rah. youtube isn't working again. oh great
1957294470,anger,allysonalfonso,@BrookeAmanda that sucks  what bout kate
1957299984,surprise,Lucie2k9,I was awake until 12:45am then my mum turned the internet off so i couldnt watch the @jonasbrothers live chat i was ccrying i was sad
1957301854,surprise,ahalizev,???-?? ? youtube ? ????
1957303384,surprise,AyoMillions,@mzstokes No twitpic?  lol
1957303620,surprise,DRUMMERBOI9002,@DSTROYR @RockDaMullet awwww i have no internet right now....  -drummer boi
1957305935,anger,epicwinmaster,lol my other tank/dps friend is having the same problem in a different guild.  wtf is wrong with this server?
1957311527,anger,carolineee,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.
1957313297,surprise,2leggedspider,"Bing! no its not Chandler Bing, its the new Search engine from Microsoft http://tinyurl.com/mgcotd ..but why the name Bing"
1957314023,surprise,AADawson,aw got orthodontist today
1957317721,anger,JohnWarnas,"damn another day at the office, the sun is bursting from the sky...and the women are eh well...back to the keyboard"
1957320931,anger,Medros,@LouGagliardi  damned hordies
1957321080,anger,shalmalisohoni,Another Day gone by....  Have to wake up early again tomorrow
1957322446,surprise,carrrrla,my cheeeks hurt so bad. what happened!?
1957327322,surprise,hello_nina,@kim_flores aww i don't! i guess that's why it doesnt  (blackberrymessenger)
1957328258,anger,CloudiestClairy,i'm so sick   bad throat and the WORST toothache.  good thing i work in a pharmacy.  load me up with drugs!!
1957328299,surprise,stuherbert,looks like my ION-based mini-itx board won't ship until mid-June now at the earliest
1957331877,anger,hantu,@avrilchan never invite
1957335510,surprise,duncan_tweet,Headache from last night has morphed in to a hangover  and now it's time to drive down the motorway... to Wolverhampton (WHY OH WHY?!)
1957344732,anger,rainbowbreeze,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy
1957345881,anger,CristianTorrent,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?"
1957346454,surprise,unclekins,Fun game of 'Candamir' with the kids last night. Can't believe it's now our last day
1957346593,anger,Jady0903,"Changed my hairstyle,but it isn't good as it supposed to be~~N I don't think it worthed that much money..  hate that hairdresser~~;("
1957347167,anger,primrosegrace,he just fully yelled @me saying dnt be so fcking stupid grow up! stop with this band shit then... throws the remote at me thnks love u2
1957349765,surprise,gegengerade,Getting rather annoyed at my notebook. I know it's old and has got wrinkles but it's never been this slow before
1957351077,surprise,MeLLo_T,@_C_A_S_ IM MAD IT WASNT SCAREY
1957351445,surprise,AlyssaDiaz95,"@deezeen I know, pero available na yata eh. Sa Singapore, though!"
1957353800,surprise,exortabreedoll,feeling so dizzy right now
1957354740,anger,mrkmattos,"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows."
1957357268,surprise,kayte_girll,@ZDAEfron and @hudgensness why are u two fighting.
1957357393,anger,khristaaa,My stomach is killing me do j can't sleep
1957361603,anger,rikaisuru,@digicho I'm inclined to think it's stupid.
1957363745,anger,teammartin,Hates untalented bitches being mean to my talented friends
1957364890,surprise,jelaniharris,"I thought that there was going to be another Def Jam Fighting game, but then it turned out to be crappy karaoke game. I miss the fighting"
1957364947,anger,ITbarbie,Arghhh So annoyed-yet again gone 2 starbucks &amp; given skimmed milk instead of soy milk!! I can't have milk so hav 2 throw away! Expensive
1957365278,anger,MrNokill,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!
1957367214,surprise,eleusis7,@Maccah Red? wtf happened to dark blue + black stripes?
1957371550,surprise,Buzzyboo,my stupid msn wont sign in
1957372521,surprise,hockeyfan45214,Ship. I'm stuck.
1957376910,surprise,joyangg,blast from the mofo'ing past. NTS why must you suck so badly at school?
1957378535,anger,katiemul,This is exactly y I hate driving thru dandy - sittin at lights next to a car of asians who r callin out to me &amp; 1 held up a knife  scum!
1957378778,anger,JuwalBose,@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank
1957382211,surprise,tortoiseandkare,"wowza, only the second tweet of my entire trip and i leave in 3 days   but first - BLOW UP SF TOMORROW NIGHT!"
1957383267,surprise,sailesh88,@serenetan Is it? Wah. Wasted trip!
1957383622,anger,cambrosio,@jaysun093  yes it is. Sucks don't it
1957384135,surprise,prashant7aug,Lots of confusions I've at my work place..
1957389904,surprise,shmerin,"I'm a genius  put rug in washing machine, left folding door half open, machine moved now door won't close or open. shaking head."
1957390538,anger,heartillery,why the fuck am I on twitter!!!
1957393736,anger,lukehmuse,"On way to exam, very very nervous  bah"
1957394632,surprise,adamleedesign,@absolutelytrue  #nightshift I'm still working  luckily having fun with it. I can turn the music up when no one else is in the office. yay
1957396708,anger,LilCeasar,"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes"
1957397161,anger,brittina,Dang you internet. . . Its been down all night. . .
1957397410,anger,DaWaBZ94,@bb_nation just launched twittix v1.10 - not convinced
1957401850,anger,valeriuhh,"im gonna die of a heart attack one of these days, if i keep going off to bed this pissed.  GGGGGGG'NITEEEEEEEE"
1957403098,anger,LucaBon,How freaking cold is it out in Sydney tonight...
1957403754,anger,tamodom,woke up from bad dream.  grrrr
1957404195,anger,rjdennis,Any city person want to trade n live in the country? House comes w racoons n skunks livin under deck. *sigh*
1957408561,anger,dancingwithself,I hate it when this computer screws up and decides not to play sound on videos
1957410345,surprise,kellygirl27,"@Emsy Yeah, mine said &quot;That's a nice picture&quot; &amp; gave me the red x!  Hope you get it working soon!"
1957411109,surprise,RebeccaBillups,... A kidney stone. Really?? Ugh  http://tinyurl.com/qsw9vq
1957412353,surprise,Royal_S_Ent,@jlynn242001 ur there when I'm not  lol
1957417241,surprise,johannschwella,"@AmandaSevasti Ugh, frustrating. I see a few briefs a week with groups in them, mostly from traditional agencies."
1957420885,surprise,RussellBfan90,@BrandyWandLover Oh I see who u mean now-tht heltershelter person lol. yer looks scary
1957424693,surprise,ElaineGiles,"WTF? Advertising gone mad, they want access to my  camera and microphone? What for? Amazon should really know better  http://bit.ly/5FoKQ"
1957424709,surprise,twebbstack,i hate it when a website says the ticket prices are on another website and their not
1957424853,surprise,alicee_,alice doesn't know what to wear to the cinema  &lt;3
1957426109,surprise,halina1979,I don't think I am going to get to see any of the sun today  gutted I NEED COLOUR!
1957426747,surprise,ilovemytroops,wow i must have been tired. i fell asleep @ exactly the start of the 10pm news &amp; now up as if its 8am.
1957430751,surprise,Baaheeyaah,OMG My sister got my brother a &quot;Jonas Brother&quot; look-a-like trenchcoat and I'm like JONAS STYLE and they told me to shutup no1 likes them
1957435007,anger,ClarineV,Waiting for my driver! Hate to wait!!!!!
1957439681,surprise,Sprungchic,I'm going to bed ....it's weird the 1st time in a long time.. He didn't call and say goodnight  ... Ima lil curious
1957441479,anger,madrizen,A central lesson of history is that States are parasites which always expand until they destroy their host population. - Stefan Molyneux
1957442173,anger,ihatecrayons,@she_shines92 aww that sucks
1957443166,surprise,jamvmusic,http://twitpic.com/665to Less than 24 hours till the show! Oh and Lee broke his guitar at practice    http://twitpic.com/660vv
1957444758,anger,rarrkun,@dragonflyeyes nick's voice still makes me wanna kill things
1957445998,surprise,burlybugger,So it's Friday... I have to keep reminding myself since every day seems the same
1957447080,surprise,Sweet_salt,i want to go to singapore but my mother seems not
1957448941,anger,Crystal_Lyn,"@bcollinstattoo yes, boo for soar throats and earaches!"
1957451307,surprise,mimidang,Owww I'm aching alll over!!
1957451999,surprise,richsarge,yay it's friday... hold on I have to work tomorrow
1957454104,anger,Trekstar_32,@chuybe again your fault  i didnt make u leave
1957454181,surprise,alliepawell,umm...why will it not let me change my background?! im twitter-challenged.
1957458941,anger,FelineMoonchild,I'm pretty sure Isis has a tapeworm.  So she's allowed to snuggle with me all she wants tonight.
1957460452,anger,ajc03,got such sore feet
1957461171,surprise,JohnnySaiz,@roninreckless dude you didn't even say bye
1957462278,surprise,Fayanora,@paper_hand Oops! I completely forgot!
1957464145,surprise,Applecored,@thatlass he was a very tallented man so its fitting wish I was closer to see it myself
1957465259,anger,NANCY___,FUCKSAKE i shouldn't smoke so much stuff.
1957467935,anger,Jullyna,So damn tired! Another long day trw!
1957468342,anger,el7omed,"just woke up, I'm starving"
1957469739,surprise,stephenrawson,"Devastated,set alarm for 9.30,forgot to turn 7.30 alarm off got up at 7.30 and showered thinking it was 9.30,I am a full fool"
1957477724,anger,anthraxmoh,My stomach is all EXPLODE from the wendys  why is everything that tastes good bad for you?
1957479921,surprise,ilsmiles9,falling asleep and waking to gun shots arent fun
1957480314,anger,carnivalesq,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.
1957480356,anger,IndigoToad,"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!"
1957484159,anger,Nita1207,"wants to move to QLD already, this cold weather is killing me"
1957485440,anger,KobieThatcher,stuck in huge traffic jam
1957486370,anger,sheh,hates typing on a mac. wishing that i'll be done my english essay soon.  sleeeepy
1957490341,anger,seyko_,"bah, i h8 waking up"
1957490771,anger,loveletsgo,"i hate working, especially when the weather is good"
1957492389,surprise,Miriam_met2xi,Back at work.....too much email in my inbox....
1957494894,anger,kleyva,Have you ever stepped on a slug by accident? I just did  I hate bugs
1957497342,anger,hypnoticzexy,Shit week all fucking week  off to the gym now with the worst headache.
1957497862,surprise,mimiedejesus,oh men..not in the mood  I'll go home tomorrow..wanna be w/ my family..its my birthday
1957498978,anger,peachylaaa,my eyes are streaming!! i HATE hayfever  it's so bad even my tablets aren't working!
1957499078,surprise,igetthatalot,@TylerHarrell do you really smoke???
1957501955,surprise,cleslie92,"Ok, ahhh! Last chance to go into school before chemistry exam!!"
1957503142,surprise,OhDaffy,Sooo tired i cant believe its already dark outside i didnt even get to see the day
1957504449,anger,nelia39,@GGSerena boo you didnt answer my text
1957505194,surprise,brookedanielle_,@dougiemcfly Aint the UK fans your fav people!?
1957510247,surprise,Alma773,Is up and I can't go to sleep!
1957512592,anger,thisloveisblind,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him"
1957514633,surprise,pyroezra,@bbyowls i cant afford it  go to school here ? !!
1957517844,anger,jayajha,Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?
1957519335,anger,OzSarge,"Just been bitten by SmoothStreaming, it doesn't seem to work for my client's linux users...fan-fricking-tastic"
1957519529,anger,twinklepuff,? MADAYA KA CHRISTIAN. BLEH!!! I HATE U  http://plurk.com/p/wy2yg
1957521826,surprise,pythons,"@FannyAddams Aw you named your car, that's very sweet. I'm sorry to hear that Petey has to go, I hope you find a really posh rollerskate."
1957528037,surprise,jeninacastillo,Oh my gosh! My hair is so short! I miss my long hair!
